Mã HP,Tên HP,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện quản lý
IT3180,Nhập môn công nghệ phần mềm,3(2-2-0-6),3,4,0.6,IT3010/IT3011,Introduction to Software Engineering,Nhập môn công nghệ phần mềm,KCNTT
IT3190,Nhập môn Học máy và khai phá dữ liệu,3(3-1-0-6),3,4,0.6,,Introduction to Machine Learning and Data Mining,Nhập môn Học máy và khai phá dữ liệu,KCNTT
IT3420,Điện tử cho CNTT,2(2-1-0-4),2,3,0.5,,Electronics for Information Technology,Điện tử cho CNTT,KCNTT
IT3931,Project II,2(0-0-4-8),2,4,0.5,,Project II,Project II,KCNTT
IT3932,Project II,3(0-0-6-12),3,6,0.7,,Project II,Project II,KCNTT
IT3940,Project III,3(0-0-6-12),3,6,0.5,,Project III,Project III,KCNTT
IT3942,Project III,3(0-0-6-12),3,6,0.7,,Project III,Project III,KCNTT
ME2102,Sức bền vật liệu,2(2-1-0-4),2,3,0.7,,Strength of Materials,Sức bền vật liệu,KCK
ME2201,Đồ họa kỹ thuật II,2(2-1-0-4),2,3,0.7,,Technical Graphics II,Đồ họa kỹ thuật II,KCK
ME2202,Sức bền vật liệu II,2(2-0-1-4),2,3.5,0.7,,Strength of Materials 2,Sức bền vật liệu II,KCK
ME2203,Nguyên lý máy,2(2-0-1-4),2,3.5,0.6,,Theory of Machine and Mechanism,Nguyên lý máy,KCK
ME2211,Cơ học kỹ thuật II,3(2-2-0-6),3,4,0.7,,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
ME3031,Công nghệ chế tạo máy,3(3-0-1-6),3,4.5,0.7,,Manufacturing Technology,Công nghệ chế tạo máy,KCK
ME3101,Chi tiết máy,2(2-0-1-4),2,3.5,0.6,,Machine Elements,Chi tiết máy,KCK
ME3102,Nguyên lý gia công vật liệu,2(2-0-1-4),2,3.5,0.7,,Principle of Metal Cutting,Nguyên lý gia công vật liệu,KCK
ME3103,Dung sai lắp ghép và Kỹ thuật đo,3(3-0-1-6),3,4.5,0.7,,Tolerance and Measurement,Dung sai lắp ghép và Kỹ thuật đo,KCK
ME3104,Chế tạo phôi,2(2-0-1-4),2,3.5,0.7,,Workpiece Fabrication,Chế tạo phôi,KCK
ME3108,Cơ học kỹ thuật II,2(2-1-0-4),2,3,0.7,,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
ME3201,Cơ sở Máy công cụ,2(2-0-1-4),2,3.5,0.7,,Machine Tool Fundamental,Cơ sở Máy công cụ,KCK
ME3202,Kỹ thuật điều khiển tự động,2(2-0-1-4),2,3.5,0.7,,Automatic Control Engineering,Kỹ thuật điều khiển tự động,KCK
ME3203,Công nghệ gia công áp lực,2(2-0-1-4),2,3.5,0.7,,Preasure Manufacturing Technology,Công nghệ gia công áp lực,KCK
ME3205,Công nghệ chế tạo máy,3(3-0-1-6),3,4.5,0.7,,Manufacturing Technology,Công nghệ chế tạo máy,KCK
ME3209,Robotics,3(3-1-0-6),3,4,0.7,,Robotics,Robotics,KCK
ME3212,Chi tiết máy,2(2-0-1-4),2,3.5,0.6,,Machine Elements,Chi tiết máy,KCK
ME3232,Đồ án chi tiết máy,2(0-4-0-4),2,4,1,ME3090/ME3101,Project of Machine Elements,Đồ án chi tiết máy,KCK
ME4159,Đồ gá,2(2-0-1-4),2,3.5,0.7,,Jig and Fixture,Đồ gá,KCK
MI2150,Đại số đại cương,2(2-1-0-4),2,3,0.7,,Universal algebra,Đại số đại cương,KTTD
MI3041,Giải tích số,2(2-1-0-4),2,3,0.7,,Numerical analysis,Giải tích số,KTTD
MI3042,Phương pháp số,2(2-1-0-4),2,3,0.7,,Numerical methods,Phương pháp số,KTTD
MI3342,Kiến trúc máy tính,2(2-1-0-4),2,3,0.7,,Computer Architecture,Kiến trúc máy tính,KTTD
MSE2000,Nhập môn KH&KT vật liệu,3(2-2-0-6),3,4,0.7,,Introduction to materials science and engineering,Nhập môn KH&KT vật liệu,KKHVCNVL
BEM4417,Quản trị sản xuất,3(3-1-0-6),3,4,0.7,,Operations Management,Quản trị sản xuất,VDTLT
BEM3522,Quản trị tài chính,3(3-1-0-6),3,4,0.7,,Financial Management,Quản trị tài chính,VDTLT
BEE4114,Quy hoạch hệ thống điện,3(3-1-0-6),3,4,0.7,,Electrical Power System Planning,Quy hoạch hệ thống điện,VDTLT
BEE5060,Sử dụng máy tính trong phân tích HTĐ,3(3-1-0-6),3,4,0.7,,Computer-based Analysis of Power Systems,Sử dụng máy tính trong phân tích HTĐ,VDTLT
BEE4041,Thí nghiệm HTĐ  II,1(0-0-2-2),1,3,0.7,,Power System Lab II,Thí nghiệm HTĐ  II,VDTLT
BEE4051,Thí nghiệm HTĐ I,1(0-0-2-2),1,3,0.7,,Power System Lab I,Thí nghiệm HTĐ I,VDTLT
BEM3230,Thống kê ứng dụng,3(3-0-0-6),3,3,0.7,,Applied Statistics,Thống kê ứng dụng,VDTLT
BEM4350,Thực tập tốt nghiệp,2(0-4-0-8),2,5,0.5,,Graduation Internship,Thực tập tốt nghiệp,VDTLT
BEE5100,Thực tập tốt nghiệp,3(0-0-6-6),3,7.5,0.5,,Graduation Practicum,Thực tập tốt nghiệp,VDTLT
BEE4108,Tối ưu hóa chế độ HTĐ,3(3-1-0-6),3,4,0.7,,Optimization of Power System Operation,Tối ưu hóa chế độ HTĐ,VDTLT
BEM3170,Văn hóa kinh doanh,2(2-0-0-4),2,2,0.7,,Business Culture,Văn hóa kinh doanh,VDTLT
MSE4507,Mô phỏng mức nguyên tử,3(2-1-1-6),3,4.5,0.7,,Atomic scale simulation,Mô phỏng mức nguyên tử,KKHVCNVL
TEX4415,Mỹ thuật trang phục,2(1-2-0-4),2,3,0.6,,Costume Art,Mỹ thuật trang phục,KCNDMVTT
ET3901,Thông tin vô tuyến,3(3-0-1-6),3,4.5,0.7,,Wireless Communications,Thông tin vô tuyến,KDTVT
ET4091,Kỹ thuật siêu cao tần,3(3-1-0-6),3,4,0.7,,Microwave Engineering,Kỹ thuật siêu cao tần,KDTVT
IT3082E,Computer Network,2(2-0-0-4),2,2,0.7,,Computer Network,Computer Network,KCNTT
IT3292E,Database,2(2-0-0-4),2,2,0.7,,Database,Database,KCNTT
IT3102E,Object-Oriented Language and Theory (Java),3(2-0-2-6),3,5,0.6,,Object-Oriented Language and Theory (Java),Object-Oriented Language and Theory (Java),KCNTT
IT3282E,Computer Architecture,2(2-0-0-4),2,2,0.7,IT3260E,Computer Architecture,Computer Architecture,KCNTT
IT3022,Toán rời rạc,2(2-0-0-4),2,2,0.7,,Discrete Mathematics ,Toán rời rạc,KCNTT
IT3072,Hệ điều hành,2(2-0-0-4),2,2,0.7,,Operating Systems,Hệ điều hành,KCNTT
IT3082,Mạng máy tính,2(2-0-0-4),2,2,0.7,,Computer Networks,Mạng máy tính,KCNTT
IT3240,Lập trình C (nâng cao),2(0-0-4-4),2,6,0.7,,C Programming (Advanced),Lập trình C (nâng cao),KCNTT
IT4082,Kỹ thuật phần mềm,2(2-1-0-4),2,3,0.7,,Software Engineering,Kỹ thuật phần mềm,KCNTT
CH4259,Nhiệt động kỹ thuật hóa học,3(3-1-0-6),3,4,0.7,,Chemical Engineering Thermodynamics,Nhiệt động kỹ thuật hóa học,KCNHH
EE5143,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5,,Graduation Project,Đồ án tốt nghiệp,KD
FL1140,Kỹ năng thuyết trình tiếng Anh,2(3-0-0-4),2,3,0.7,,Presentation in English,Kỹ năng thuyết trình tiếng Anh,KNN
MI3093,Cơ sở dữ liệu,3(3-1-0-6),3,4,0.7,,Database,Cơ sở dữ liệu,KTTD
MI4133,Đồ án môn học chuyên ngành,1(0-1-0-4),1,2,1,,Senior Project,Đồ án môn học chuyên ngành,KTTD
MI4173,Các mô hình ngẫu nhiên và ứng dụng,3(3-1-0-6),3,4,0.7,,Stochastic Models and Applications,Các mô hình ngẫu nhiên và ứng dụng,KTTD
MI4243,CĐ4: Một số PP toán học trong tài chính,2(2-1-0-4),2,3,0.7,,Mathematical Methods in Finance,CĐ4: Một số PP toán học trong tài chính,KTTD
PH5113,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5,,Graduation Project,Đồ án tốt nghiệp,VVLKT
ET3166,Cấu trúc dữ liệu,3(3-1-0-6),3,4,0.7,,Data Structures,Cấu trúc dữ liệu,KDTVT
FL3586,Kỹ năng giao tiếp kỹ thuật,3(2-2-0-6),3,4,0.7,,Technical Communication,Kỹ năng giao tiếp kỹ thuật,KNN
ME5016,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7,,Graduation Practicum,Thực tập tốt nghiệp,KCK
ME5116,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5,,Graduation Project,Đồ án tốt nghiệp,KCK
MSE3026,Vật liệu y sinh,3(2-1-0-6),3,3,0.7,,Biomaterials,Vật liệu y sinh,KKHVCNVL
EE4443,Hệ thống điều khiển lập trình,4(3-1-0.5-8),4,5,0.7,,Programmable Control Systems,Hệ thống điều khiển lập trình,KD
ET2000E,Nhập môn kỹ thuật điện-điện tử,3(2-0-2-6),3,5,0.7,,Introduction to Electrical and Electronic Engineering,Nhập môn kỹ thuật điện-điện tử,KDTVT
ET3300E,Thiết kế hệ thống số 2,4(4-1-0-8),4,5,0.7,,Digital System Design 2,Thiết kế hệ thống số 2,KDTVT
ET3230E,Điện tử tương tự I,4(3-1-1-8),4,5.5,0.7,,Analog Electronics I,Điện tử tương tự I,KDTVT
EE3000E,Tín hiệu và hệ thống,4(3-2-0-8),4,5,0.5,,Signals and Systems,Tín hiệu và hệ thống,KD
EE5043,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7,,Graduation Practicum,Thực tập tốt nghiệp,KD
PH5013,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7,,Graduation Practicum,Thực tập tốt nghiệp,VVLKT
IT4865,Tính toán phân tán,3(3-1-0-6),3,4,0.7,,Grid Computing,Tính toán phân tán,KCNTT
CH4046,Thiết bị nhà máy lọc hóa dầu,2(2-1-0-4),2,3,0.7,,Equipments in Refinery and Petroleum Plants,Thiết bị nhà máy lọc hóa dầu,KCNHH
EE1024E,Nhập môn kỹ thuật ngành điện,2(1-1-1-4),2,3.5,0.5,,Introduction to Electrical Engineering,Nhập môn kỹ thuật ngành điện,KD
ED3280,Tâm lý học ứng dụng,2(1-2-0-4),2,3,0.7,,Applied Psychology,Tâm lý học ứng dụng,KSPKT
EM1180,Văn hóa kinh doanh và tinh thần khởi nghiệp,2(2-1-0-4),2,3,0.7,,Business Culture and Entrepreneurship,Văn hóa kinh doanh và tinh thần khởi nghiệp,KKTVQL
ET3262,Tư duy công nghệ và thiết kế kỹ thuật,2(1-2-0-4),2,3,0.7,,Technology and technical design thinking,Tư duy công nghệ và thiết kế kỹ thuật,KDTVT
TEX2020,Technical Writing and Presentation,3(2-2-0-6),3,4,0.7,,Technical Writing and Presentation,Technical Writing and Presentation,KCNDMVTT
TEX3013,Quản lý sản xuất ngành dệt,2(2-1-0-4),2,2,0.7,,Textile Production Management,Quản lý sản xuất ngành dệt,KCNDMVTT
TEX3123,Thiết kế mỹ thuật công nghiệp,2(1-2-0-4),2,3,0.5,,Industrial Design,Thiết kế mỹ thuật công nghiệp,KCNDMVTT
TEX4402,Tin học ứng dụng trong sản xuất công nghiệp may,3(0-0-6-6),3,6,0.6,,Applied informatics in Industrial Production,Tin học ứng dụng trong sản xuất công nghiệp may,KCNDMVTT
TEX4404,Thiết kế giầy cơ bản ,3(2-0-2-6),3,5,0.6,,Basic Footwear Design,Thiết kế giầy cơ bản ,KCNDMVTT
TEX4405,Hình họa thời trang cơ bản,2(1-2-0-4),2,3,0.6,,Basics Fashion Drawing,Hình họa thời trang cơ bản,KCNDMVTT
TEX4411,Chuẩn bị dệt,2(2-0-0-4),2,2,0.7,,Preparation of weaving,Chuẩn bị dệt,KCNDMVTT
TEX4412,Thiết kế và gia công sản phẩm dệt kim  ,2(1-2-0-4),2,2,0.6,,Design and Mass production of Knitwear,Thiết kế và gia công sản phẩm dệt kim  ,KCNDMVTT
TEX4414,Thiết kế sản phẩm da,2(1-2-0-4),2,3,0.6,,Design of Leather Goods,Thiết kế sản phẩm da,KCNDMVTT
TEX4421,Kỹ thuật kéo sợi xơ ngắn,4(4-0-0-8),4,4,0.7,,Short staple spinning technology,Kỹ thuật kéo sợi xơ ngắn ,KCNDMVTT
TEX4422,Thiết kế dây chuyền may,3(2-2-0-4),3,4,0.6,,Design of Sewing Line,Thiết kế dây chuyền may,KCNDMVTT
TEX4424,Thiết kế giầy nâng cao ,2(0-0-4-4),2,2,0.5,,Advanced Footwear Design,Thiết kế giầy nâng cao ,KCNDMVTT
TEX4425,Hình họa thời trang nâng cao,2(1-2-0-4),2,3,0.6,,Advanced Fashion Drawing,Hình họa thời trang nâng cao,KCNDMVTT
TEX4431,Kỹ thuật dệt kim cơ bản,2(2-1-0-4),2,2,0.7,,Fundamentals in Knitting Engineering,Kỹ thuật dệt kim cơ bản,KCNDMVTT
TEX4441,Kỹ thuật dệt thoi,4(4-0-0-8),4,4,0.7,,Weaving technology,Kỹ thuật dệt thoi,KCNDMVTT
TEX4442,Công nghệ sản xuất sản phẩm may,3(2-2-0-6),3,4,0.6,,Technology of Clothing Manufacturing,Công nghệ sản xuất sản phẩm may,KCNDMVTT
TEX4444,Thực hành công nghệ sản xuất giầy,3(0-0-6-6),3,9,0.5,,Practice of Footwear Technology,Thực hành công nghệ sản xuất giầy,KCNDMVTT
TEX4445,Phát triển ý tưởng thời trang,2(2-1-0-4),2,2,0.6,,Fashion concept development,Phát triển ý tưởng thời trang,KCNDMVTT
TEX4451,Kỹ thuật dệt kim hoa,2(2-1-0-4),2,3,0.7,,Patterned knitting techniques,Kỹ thuật dệt kim hoa,KCNDMVTT
TEX4453,Thực hành công nghệ nhuộm – in hoa  - hoàn tất sản phẩm dệt may,2(0-0-4-4),2,6,0.5,,Practice of Dyeing – Printing and Finishing Technology,Thực hành công nghệ nhuộm – in hoa  - hoàn tất sản phẩm dệt may,KCNDMVTT
TEX4462,Thực hành thiết kế trang phục,2(0-0-4-4),2,6,0.5,,Clothing Design Practice,Thực hành thiết kế trang phục,KCNDMVTT
TEX4463,Công nghệ và thiết bị tiền xử lý sản phẩm dệt,2(2-0-1-4),2,3.5,0.6,,Pretreatment Process of Textile Materials: Technologies and equipments,Công nghệ và thiết bị tiền xử lý sản phẩm dệt,KCNDMVTT
TEX4464,Công nghệ cắt may sản phẩm da giầy,2(2-1-0-4),2,2,0.6,,Cutting and Sewing Technology of Footwear and Leather Goods,Công nghệ cắt may sản phẩm da giầy,KCNDMVTT
TEX4471,Công nghệ không dệt,2(2-0-0-4),2,2,0.7,,Nonwoven Technology,Công nghệ không dệt,KCNDMVTT
TEX4473,Công nghệ và thiết bị nhuộm – in hoa sản phẩm dệt,3(3-1-0-6),3,4,0.7,,Technology of Dyeing and Printing in textile,Công nghệ và thiết bị nhuộm – in hoa sản phẩm dệt,KCNDMVTT
EM2132,Toán kinh tế 2,2(2-1-0-4),2,3,0.7,MI3131,Economics Mathematis 2,Toán kinh tế 2,KKTVQL
TEX4483,Phân tích sinh thái vật liệu dệt may,2(2-0-1-4),2,3.5,0.7,,Ecologycal Testing of Textile Material,Phân tích sinh thái vật liệu dệt may,KCNDMVTT
TEX4484,Công nghệ gò ráp đế và hoàn tất giầy,2(2-1-0-4),2,2,0.6,,Footwear Lasting - Bottoming and FinishingTechnology,Công nghệ gò ráp đế và hoàn tất giầy,KCNDMVTT
TEX4493,Công nghệ-thiết bị hoàn tất và kỹ thuật đo màu,3(3-1-0-6),3,4,0.7,,Textile Finishing Technology and Color matching,Công nghệ-thiết bị hoàn tất và kỹ thuật đo màu,KCNDMVTT
TEX4501,Kỹ thuật kéo sợi không cọc,2(2-0-0-4),2,2,0.7,,Spindless spinning technology,Kỹ thuật kéo sợi không cọc,KCNDMVTT
TEX4511,Thiết kế dây chuyền kéo sợi,2(2-0-0-4),2,2,0.7,,Spinning line designing,Thiết kế dây chuyền kéo sợi,KCNDMVTT
TEX4521,Thực hành sợi 1,2(0-0-4-4),2,6,0.5,,Yarns practice 1,Thực hành sợi 1,KCNDMVTT
TEX4531,Công nghệ sản xuất vải dệt thoi,2(2-1-0-4),2,3,0.7,,Technology for woven fabrics manufacturing,Công nghệ sản xuất vải dệt thoi,KCNDMVTT
TEX4541,Công nghệ sản xuất vải dệt kim,2(2-1-0-4),2,3,0.7,,Production of knitted fabric,Công nghệ sản xuất vải dệt kim,KCNDMVTT
TEX4551,Thực hành dệt 1,2(0-0-4-4),2,6,0.5,,Textile practice 1,Thực hành dệt 1,KCNDMVTT
TEX4561,Thiết kế dây chuyền dệt,2(2-0-0-4),2,2,0.7,,Textile production line designing,Thiết kế dây chuyền dệt,KCNDMVTT
TEX4571,Công nghệ sản xuất sợi,2(2-1-0-4),2,3,0.7,,Yarn manufacture,Công nghệ sản xuất sợi,KCNDMVTT
TEX4901,Thực tập kỹ thuật,2(0-0-6-4),2,4,0.7,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
BF4705,Kỹ thuật lên men,3(2-2-0-6),3,4,0.7,,Fermentation Engineering,Kỹ thuật lên men,VCNSHVTP
IT4593,Nhập môn kỹ thuật truyền thông,2(2-1-0-4),2,3,0.7,,Introduction to Communication Engineering,Nhập môn kỹ thuật truyền thông,KCNTT
IT4172,Xử lý tín hiệu,2(2-1-0-4),2,3,0.7,,Signal Processing,Xử lý tín hiệu,KCNTT
IT4611,Các hệ thống phân tán và ứng dụng,2(2-1-0-4),2,3,0.6,,Distributed Systems and Applications,Các hệ thống phân tán và ứng dụng,KCNTT
IT2030,Technical Writing and Presentation,3(2-2-0-6),3,4,0.5,,Technical Writing and Presentation,Technical Writing and Presentation,KCNTT
IT4651,Thiết kế và triển khai mạng IP,3(2-0-2-6),3,5,0.5,IT3080,IP Network Design and Implementation,Thiết kế và triển khai mạng IP,KCNTT
IT4735,IoT và ứng dụng,2(2-1-0-4),2,3,0.6,"(IT3030/IT3283),IT3080",IoT and Applications,IoT và ứng dụng,KCNTT
IT4350,Kiến trúc các hệ thống thông tin và ứng dụng,3(3-1-0-6),3,4,0.6,,Architecture of Information Systems and Applications,Kiến trúc các hệ thống thông tin và ứng dụng,KCNTT
IT4653,Học sâu và ứng dụng,2(2-1-0-4),2,3,0.5,"MI1111!,MI1141!,MI2020,(IT3010!/IT3011!),IT3190",Deep Learning and Its Applications,Học sâu và ứng dụng,KCNTT
IT4906,Tính toán tiến hóa,3(3-1-0-6),3,4,0.7,IT3170/IT3680,Evolutionary Computation,Tính toán tiến hóa,KCNTT
IT4788,Phát triển ứng dụng đa nền tảng,3(2-2-0-6),3,4,0.6,IT3100,Cross-platform application development,Phát triển ứng dụng đa nền tảng,KCNTT
IT4663,Tối ưu lập kế hoạch,3(3-1-0-6),3,4,0.5,"IT3020,(IT3010/IT3011)",Planning Optimization,Tối ưu lập kế hoạch,KCNTT
EM4336,Thương mại điện tử,2(2-1-0-4),2,3,0.7,IT1130/IT1110,E-Commerce,Thương mại điện tử,KKTVQL
BF4511,Enzym trong công nghệ thực phẩm,2(2-0-0-4),2,2,0.7,,Enzyme in Food Technology,Enzym trong công nghệ thực phẩm,VCNSHVTP
BF4512,Bao bì thực phẩm,2(2-0-0-4),2,2,0.7,,Food Packaging,Bao bì thực phẩm,VCNSHVTP
BF4521,Phụ gia Thực phẩm,2(2-0-0-4),2,2,0.7,,Food Additives,Phụ gia Thực phẩm,VCNSHVTP
BF4514,Công nghệ lạnh Thực phẩm,2(2-1-0-4),2,3,0.7,,Food Refrigeration Technology,Công nghệ lạnh Thực phẩm,VCNSHVTP
BF4515,Bảo quản sau thu hoạch,2(2-0-0-4),2,2,0.7,,Postharvest preservation,Bảo quản sau thu hoạch,VCNSHVTP
BF4506,Quản lý chất thải trong công nghiệp thực phẩm,2(2-0-0-4),2,2,0.7,,Waste management in Food Industry,Quản lý chất thải trong công nghiệp thực phẩm,VCNSHVTP
BF4522,Kỹ thuật phân tích cảm quan thực phẩm,2(1-0-2-4),2,4,0.7,,Sensory Analysis of Food,Kỹ thuật phân tích cảm quan thực phẩm,VCNSHVTP
BF4518,Đồ án chuyên ngành CNTP,2(0-1-3-6),2,4,0.7,,Project in Food Technology,Đồ án chuyên ngành CNTP,VCNSHVTP
BF4513,Kiểm soát vi sinh vật trong Thực phẩm,2(1-0-2-4),2,4,0.7,,Microbiological Control in Food,Kiểm soát vi sinh vật trong Thực phẩm,VCNSHVTP
BF4523,Phân tích thành phần lý hóa thực phẩm,2(1-0-2-4),2,4,0.7,,Food Analysis,Phân tích thành phần lý hóa thực phẩm,VCNSHVTP
BF4524,Hệ thống quản lý và đảm bảo chất lượng thực phẩm,3(2-2-0-6),3,4,0.7,,Food Quality Assurance and Management System,Hệ thống quản lý và đảm bảo chất lượng thực phẩm,VCNSHVTP
BF4525,Thống kê ứng dụng trong Công nghệ Thực phẩm,2(2-1-0-4),2,3,0.7,,Statistical analysis in Food Technology,Thống kê ứng dụng trong Công nghệ Thực phẩm,VCNSHVTP
BF4526,Marketing thực phẩm,2(2-0-0-4),2,2,0.7,,Food Marketing,Marketing thực phẩm,VCNSHVTP
BF4527,Đồ án Chuyên ngành Quản lý chất lượng,1(0-2-0-2),1,2,0.7,,Project in Food Quality Management,Đồ án Chuyên ngành Quản lý chất lượng,VCNSHVTP
BF4531,Máy và thiết bị chế biến thực phẩm,3(3-0-0-6),3,3,0.7,,Food Processing Machines and Equipments,Máy và thiết bị chế biến thực phẩm,VCNSHVTP
BF4532,Điều khiển tự động các quá trình công nghệ thực phẩm,2(2-1-0-4),2,3,0.7,,Automatic Control in Food-Processing Industry,Điều khiển tự động các quá trình công nghệ thực phẩm,VCNSHVTP
BF4533,Thí nghiệm chuyên ngành QTTB,2(0-0-4-4),2,6,0.7,,Procces and Equipment Lab,Thí nghiệm chuyên ngành QTTB,VCNSHVTP
BF4534,Máy tự động trong sản xuất TP,2(2-0-0-4),2,2,0.7,,Automatic Machines in Food Processing,Máy tự động trong sản xuất TP,VCNSHVTP
BF4535,Đồ án chuyên ngành QTTB,2(0-4-0-4),2,4,0.7,,Project in Procces and Equipment,Đồ án chuyên ngành QTTB,VCNSHVTP
BF4980,Thực tập kỹ thuật,2(0-0-6-4),2,4,0.7,,Engineering Practicum,Thực tập kỹ thuật,VCNSHVTP
BF4991,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5,,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,VCNSHVTP
BF4701,Kỹ thuật sinh học xử lý chất thải,3(2-2-0-6),3,4,0.7,,Waste Biotreatment,Kỹ thuật sinh học xử lý chất thải,VCNSHVTP
EV2020,Technical Writing and Presentation,3(2-2-0-6),3,4,0.6,,Technical Writing and Presentation,Technical Writing and Presentation,VKHVCNMT
EV4132,Chuyên đề công nghệ môi trường I,2(2-0-0-4),2,2,0.7,,Selected Topics in environmental technology I,Chuyên đề công nghệ môi trường I,VKHVCNMT
EE4256,Tự động hóa và điều khiển trong kỹ thuật môi trường,2(2-1-0-4),2,3,0.5,,Automation and Control in Environmental Engineering,T? đ?ng hóa và đi?u khi?n trong k? thu?t môi trư?ng,KD
EV4223,Đánh giá tác động môi trường,2(2-1-0-4),2,3,0.7,,Assessment of Environmental Impact,Đánh giá tác động môi trường,VKHVCNMT
EV4225,Nguyên lý sản xuất sạch hơn,2(2-1-0-4),2,3,0.7,,Cleaner Production Principles,Nguyên lý sản xuất sạch hơn,VKHVCNMT
EV4222,Quan trắc môi trường,3(2-0-2-6),3,5,0.7,,Environmental Monitoring,Quan trắc môi trường,VKHVCNMT
EV4229,Luật và chính sách môi trường,2(2-0-0-4),2,2,0.6,,Environmental Law and Policy,Luật và chính sách môi trường,VKHVCNMT
EV4228,Kinh tế môi trường,2(2-1-0-4),2,3,0.6,,Environmental Economics,Kinh tế môi trường,VKHVCNMT
EV4226,Năng lượng và phát triển bền vững,2(2-0-0-4),2,2,0.6,,Energy for Sustainable Process,Năng lượng và phát triển bền vững,VKHVCNMT
EV4224,An toàn sức khỏe nghề nghiệp,2(2-1-0-4),2,3,0.7,,Occupation Health and Safety,An toàn sức khỏe nghề nghiệp,VKHVCNMT
EV4227,Quản lý môi trường đô thị và khu công nghiệp,2(2-0-0-4),2,2,0.7,,Urban Environmental Management,Quản lý môi trường đô thị và khu công nghiệp,VKHVCNMT
EV4901,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5,,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,VKHVCNMT
BF4703,Vi sinh vật II - môi trường,2(2-0-0-4),2,2,0.7,,Microbiology II - Environmental Microbiology,Vi sinh vật II - môi trường,VCNSHVTP
EV4241,Quản lý môi trường,2(2-0-0-4),2,2,0.7,,Environmental Management,Quản lý môi trường,VKHVCNMT
BF4706,Kỹ thuật phân tích phân tử trong CNTP,2(2-0-1-4),2,3.5,0.7,,Molecular and Immunological Methods in Food Industry,Kỹ thuật phân tích phân tử trong CNTP,VCNSHVTP
BF4707,Vi sinh vật II - thực phẩm,2(2-0-0-4),2,2,0.7,,Microbiology II - Food Technology,Vi sinh vật II - thực phẩm,VCNSHVTP
BF4708,Thí nghiệm kỹ thuật lên men,2(0-0-4-4),2,6,0.7,,Practical work in Fermentation Engineering,Thí nghiệm kỹ thuật lên men,VCNSHVTP
BF4709,Kỹ thuật thu hồi hoàn thiện sản phẩm,2(2-0-0-4),2,2,0.7,,Downstream processing,Kỹ thuật thu hồi hoàn thiện sản phẩm,VCNSHVTP
BF4711,Vi sinh vật II - công nghiệp,2(2-0-0-4),2,2,0.7,,Microbiology II - Industrial Microbiology,Vi sinh vật II - công nghiệp,VCNSHVTP
BF4712,Enzyme học,2(2-0-0-4),2,2,0.7,,Enzymology,Enzyme học,VCNSHVTP
BF4713,Công nghệ tế bào động vật,3(2-2-0-6),3,4,0.7,,Animal Cell Culture,Công nghệ tế bào động vật,VCNSHVTP
BF4714,Kỹ thuật phân tích và chẩn đoán phân tử,2(2-0-1-4),2,3.5,0.7,,Molecular Diagnostics,Kỹ thuật phân tích và chẩn đoán phân tử,VCNSHVTP
BF4715,Kỹ thuật nuôi cấy vi rút,2(2-0-0-4),2,2,0.7,,Techniques of Virus Cultivation,Kỹ thuật nuôi cấy vi rút,VCNSHVTP
BF4716,Công nghệ DNA tái tổ hợp,2(2-0-0-4),2,2,0.7,,Recombinant DNA Technology,Công nghệ DNA tái tổ hợp,VCNSHVTP
BF2020,Technical Writing and Presentation,3(2-2-0-6),3,4,0.7,,Technical Writing and Presentation,Technical Writing and Presentation,VCNSHVTP
EE4910E,Đồ án thiết kế,3(0-0-6-12),3,6,0.7,,Design Project,Đồ án thiết kế,KD
EE3510E,Truyền động điện,3(3-0-1-6),3,4.5,0.7,,Electrical Drives ,Truyền động điện,KD
EE3410E,Điện tử công suất,3(3-0-1-6),3,4.5,0.7,,Power Electronics,Điện tử công suất,KD
EE4220E,Điều khiển logic và PLC,2(2-0-1-6),2,3.5,0.7,,Logic Control and PLC,Điều khiển logic và PLC,KD
EE3140E,Máy điện,3(3-0-1-6),3,4.5,0.7,,Electrical Machines ,Máy điện,KD
EE3420E,Hệ thống cung cấp điện,4(3-1-1-6),4,5.5,0.7,,Power Supply Systems,Hệ thống cung cấp điện,KD
BF4719,TN thu nhận các hoạt chất sinh học từ thực vật,2(0-0-4-4),2,6,0.7,,Plant Bioactive Compound Lab,TN thu nhận các hoạt chất sinh học từ thực vật,VCNSHVTP
